Timestamp,,What Engineering program are you in?,What year are you in?,What is your gender?  **We're asking this to discover any gender biases in our questions**,"Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",What kind of problems do you enjoy solving?,Would you consider yourself as being creative?,"What industry can you see yourself working in, in the future? Select all that apply.",How comfortable are you working in the outdoors?,What can you see yourself doing in the future?,How do you feel about group work? ,What high school class did you enjoy the most?,What high school class did you enjoy the least?,How do you feel about computer programming?,What type of club would you consider joining?,What type of club would you NOT want to join?,What project would you want to be a part of? ,What project do you find the least interesting?,"If you could only watch one TV show for the rest of your life, what would it be?","If engineering didn’t exist, what would you consider studying?",How do you feel about working with expensive equipment?,How would you describe your drawing abilities?,You have an assignment to write an essay about anything you want. How does that make you feel?,Skill testing question: what is (4+2)x2 ?,What was the extent of your programming experience prior to entering Engineering at the University of Waterloo?
1/16/2020 12:31:18,EDU.UWATERLOO.CA,Mechanical Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I enjoy working with others.,Physics,Language Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Optimizing the Uber Pool routes.,Silicon Valley,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 13:05:53,gmail.com,Mechatronics Engineering,1st year,Male,Yes,Problems that are well defined.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I enjoy working with others.,Physics,Geography,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Building the world’s most powerful supercomputer.,Myth Busters,Finance,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 12:12:31,uwaterloo.ca,Computer Engineering,1st year,Male,Yes,Problems with very limited information.,I am very creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Programming apps.,I enjoy working with others.,Math,History,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Environment club (i.e. UW Energy Network),Building the world’s most powerful supercomputer.,Prototyping a musical instrument for children with a disability.,Breaking Bad,Health Studies,That sounds cool!,"Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/12/2019 1:11:19,uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,Automotive (i.e. Designing a new autonomous car),"Working outside would be okay, but only for short periods of time.",Optimizing processes.,I enjoy working with others.,Math,History,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Designing an Olympic village.,Myth Busters,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/16/2020 15:31:57,edu.uwaterloo.ca,Software Engineering,4th year,Female,Yes,Problems that are well defined.,I am not creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Designing or building sensor based technology.,I occasionally like working with others.,Computer Science,Language Arts,I can code but it's not my favourite thing to do.,Hacker club (i.e. UW Hacks),Consulting club (i.e. DECA),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Myth Busters,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,Minimal experience
12/12/2019 0:13:39,edu.uwaterloo.ca,Environmental Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I occasionally like working with others.,Physics,Business,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Hacker club (i.e. UW Hacks),Designing a water treatment system for Mars.,Prototyping a musical instrument for children with a disability.,Myth Busters,Environmental Studies,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,Minimal experience
1/12/2020 17:57:04,edu.uwaterloo.ca,Mechatronics Engineering,4th year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I occasionally like working with others.,Autoshop,History,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Programming a robot that can make you dinner.,Optimizing the Uber Pool routes.,Myth Busters,Business,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/17/2019 18:02:02,edu.uwaterloo.ca,Civil Engineering,3rd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I would rather work inside.,Improving the way we use the world's resources.,I occasionally like working with others.,Math,Biology,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Building the world’s most powerful supercomputer.,Big Bang Theory,Environmental Studies,That scares me and I don't want to touch it.,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/24/2020 19:08:50,uwaterloo.ca,Architectural Engineering,2nd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I enjoy working with others.,Math,Biology,I don't code but I am interested in trying it.,Consulting club (i.e. DECA),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Optimizing the Uber Pool routes.,Big Bang Theory,Economics,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,Minimal experience
1/12/2020 17:51:17,uwaterloo.ca,Systems Design Engineering,2nd year,Female,Yes,Problems that are well defined.,I am very creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I enjoy working with others.,Visual Arts,Language Arts,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Autoshop club (i.e. Autonomoose Autonomous Car Club),Prototyping a musical instrument for children with a disability.,Building the world’s most powerful supercomputer.,Planet Earth,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 11:55:23,uwaterloo.ca,Nanotechnology Engineering,4th year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,Manufacturing (i.e. Optimization or automation of manufacturing processes),"Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Chemistry,Biology,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Hacker club (i.e. UW Hacks),Creating a battery from recycled material.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Psychology,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
